layer,q_head,chosen_budget,best_l2
19,6,BLOCK_SPARSE@0.400,0.0998
19,7,DENSE,0.12445953488349915
19,8,DENSE,0.10146798193454742
19,9,DENSE,0.12695439159870148
19,10,DENSE,0.13380686938762665
19,11,DENSE,0.12292487174272537
19,12,BLOCK_SPARSE@0.400,0.0980
19,13,BLOCK_SPARSE@0.400,0.0849
19,14,BLOCK_SPARSE@0.400,0.0885
19,15,DENSE,0.10219335556030273
20,0,DENSE,nan
20,1,DENSE,nan
20,2,DENSE,nan
20,3,DENSE,nan
20,4,DENSE,nan
20,5,DENSE,nan
20,6,DENSE,nan
20,7,DENSE,nan
20,8,DENSE,nan
20,9,DENSE,nan
20,10,DENSE,nan
20,11,DENSE,nan
20,12,DENSE,nan
20,13,DENSE,nan
20,14,DENSE,nan
20,15,DENSE,nan
21,0,DENSE,nan
21,1,DENSE,nan
21,2,DENSE,nan
21,3,DENSE,nan
21,4,DENSE,nan
21,5,DENSE,nan
21,6,DENSE,nan
21,7,DENSE,nan
21,8,DENSE,nan
21,9,DENSE,nan
21,10,DENSE,nan
21,11,DENSE,nan
21,12,DENSE,nan
21,13,DENSE,nan
21,14,DENSE,nan
21,15,DENSE,nan
22,0,DENSE,nan
22,1,DENSE,nan
22,2,DENSE,nan
22,3,DENSE,nan
22,4,DENSE,nan
22,5,DENSE,nan
22,6,DENSE,nan
22,7,DENSE,nan
22,8,DENSE,nan
22,9,DENSE,nan
22,10,DENSE,nan
22,11,DENSE,nan
22,12,DENSE,nan
22,13,DENSE,nan
22,14,DENSE,nan
22,15,DENSE,nan
23,0,DENSE,0.18115316331386566
23,1,DENSE,0.1679685413837433
23,2,DENSE,0.14428600668907166
23,3,DENSE,0.14169567823410034
23,4,DENSE,0.16705183684825897
23,5,DENSE,0.1532047986984253
23,6,DENSE,0.1569737195968628
23,7,DENSE,0.15394537150859833
23,8,BLOCK_SPARSE@0.100,0.0960
23,9,BLOCK_SPARSE@0.400,0.0883
23,10,BLOCK_SPARSE@0.200,0.0932
23,11,BLOCK_SPARSE@0.200,0.0939
23,12,DENSE,0.1356349140405655
23,13,DENSE,0.13022805750370026
23,14,DENSE,0.11568420380353928
23,15,DENSE,0.14757128059864044
24,0,DENSE,nan
24,1,DENSE,nan
24,2,DENSE,nan
24,3,DENSE,nan
24,4,DENSE,nan
24,5,DENSE,nan
24,6,DENSE,nan
24,7,DENSE,nan
24,8,DENSE,nan
24,9,DENSE,nan
24,10,DENSE,nan
24,11,DENSE,nan
24,12,DENSE,nan
24,13,DENSE,nan
24,14,DENSE,nan
24,15,DENSE,nan
25,0,DENSE,nan
25,1,DENSE,nan
25,2,DENSE,nan
25,3,DENSE,nan
25,4,DENSE,nan
25,5,DENSE,nan
25,6,DENSE,nan
25,7,DENSE,nan
25,8,DENSE,nan
25,9,DENSE,nan
25,10,DENSE,nan
25,11,DENSE,nan
25,12,DENSE,nan
25,13,DENSE,nan
25,14,DENSE,nan
25,15,DENSE,nan
26,0,DENSE,nan
26,1,DENSE,nan
26,2,DENSE,nan
26,3,DENSE,nan
26,4,DENSE,nan
26,5,DENSE,nan
